register_pair,LSR,MSR
1500/1501,8192,17541
1502/1503,20576,18694
1504/1505,-18848,18653
1506/1507,-29217,19073
1508/1509,23441,17841
1510/1511,-30743,19073
1512/1513,8378,17841
1514/1515,-20412,17926
1516/1517,3991,18752
1518/1519,-2160,17752
1520/1521,21580,17908
1522/1523,1851,19077
1524/1525,-5031,17999
1526/1527,-4409,17980
1528/1529,-1982,18753
1530/1531,17385,15767
1532/1533,6942,16453
1534/1535,-30061,17980
1536/1537,-1147,18751
1538/1539,-6443,18422
1540/1541,25044,18762
1542/1543,28899,18860
1544/1545,31516,18896
1546/1547,-25842,18843
1548/1549,25282,18397
1550/1551,30493,16954
1552/1553,10528,18213
1554/1555,24969,19073
1556/1557,1159,-14017
1558/1559,24830,-16320
1560/1561,2395,-14019
1562/1563,25130,18860
1564/1565,30187,18896
1566/1567,-27166,18843
1568/1569,23150,18397
1570/1571,30474,16954
1572/1573,2844,18213
1574/1575,269,19082
1576/1577,-29842,18265
1578/1579,7255,18748
